epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2387.67,1.33209,1.64793,1.12824,0.48727,0.53512,0.57633,0.32581,1.7182,2.12327,1.2923,0.000268063,0.000268063,0.000268063
85,2413.85,1.25965,1.53933,1.06607,0.48727,0.53512,0.57633,0.32581,1.7182,2.12327,1.2923,0.000265811,0.000265811,0.000265811
86,2441.43,1.31912,1.64173,1.05424,0.53362,0.53035,0.59629,0.33604,1.72751,2.07749,1.30176,0.000263559,0.000263559,0.000263559
87,2467.47,1.33041,1.58811,1.11255,0.53362,0.53035,0.59629,0.33604,1.72751,2.07749,1.30176,0.000261307,0.000261307,0.000261307
88,2494.9,1.3579,1.61515,1.06647,0.58766,0.54163,0.60298,0.3458,1.72593,2.0521,1.31014,0.000259054,0.000259054,0.000259054
89,2522.09,1.26307,1.54483,1.05647,0.58766,0.54163,0.60298,0.3458,1.72593,2.0521,1.31014,0.000256802,0.000256802,0.000256802
90,2550.34,1.28912,1.57273,1.07949,0.63687,0.56286,0.61421,0.35185,1.76496,2.08534,1.33038,0.00025455,0.00025455,0.00025455
91,2578.7,1.26819,1.5249,1.03639,0.63687,0.56286,0.61421,0.35185,1.76496,2.08534,1.33038,0.000252298,0.000252298,0.000252298
92,2605.45,1.2852,1.48253,1.05953,0.61877,0.55794,0.61142,0.34771,1.76347,2.07138,1.33311,0.000250045,0.000250045,0.000250045
93,2632.6,1.34486,1.57663,1.13007,0.61877,0.55794,0.61142,0.34771,1.76347,2.07138,1.33311,0.000247793,0.000247793,0.000247793
94,2662.39,1.26048,1.55389,1.06657,0.73332,0.55431,0.61868,0.35567,1.76876,2.07964,1.32345,0.000245541,0.000245541,0.000245541
95,2688.88,1.21227,1.46972,1.02465,0.73332,0.55431,0.61868,0.35567,1.76876,2.07964,1.32345,0.000243289,0.000243289,0.000243289
96,2715.11,1.30338,1.51434,1.06218,0.77859,0.50985,0.63539,0.35162,1.78594,2.07036,1.32773,0.000241036,0.000241036,0.000241036
97,2740.95,1.25682,1.4802,1.06057,0.77859,0.50985,0.63539,0.35162,1.78594,2.07036,1.32773,0.000238784,0.000238784,0.000238784
98,2769.41,1.2478,1.4454,1.06013,0.79574,0.50806,0.66348,0.37326,1.79216,2.01096,1.33885,0.000236532,0.000236532,0.000236532
99,2798.05,1.24276,1.40995,1.08004,0.79574,0.50806,0.66348,0.37326,1.79216,2.01096,1.33885,0.00023428,0.00023428,0.00023428
100,2827.94,1.20714,1.39374,1.063,0.69841,0.558,0.68536,0.38279,1.78866,1.91473,1.35939,0.000232027,0.000232027,0.000232027
101,2856.15,1.2417,1.45234,1.02668,0.69841,0.558,0.68536,0.38279,1.78866,1.91473,1.35939,0.000229775,0.000229775,0.000229775
102,2883.07,1.1326,1.30582,1.02622,0.71497,0.63917,0.72506,0.40593,1.7647,1.83977,1.35242,0.000227523,0.000227523,0.000227523
103,2909.4,1.18956,1.37795,1.05329,0.71497,0.63917,0.72506,0.40593,1.7647,1.83977,1.35242,0.00022527,0.00022527,0.00022527
104,2937.33,1.12496,1.308,1.00426,0.68713,0.65334,0.74339,0.41721,1.76056,1.80531,1.35889,0.000223018,0.000223018,0.000223018
105,2963.49,1.18475,1.37674,1.0151,0.68713,0.65334,0.74339,0.41721,1.76056,1.80531,1.35889,0.000220766,0.000220766,0.000220766
106,2989.51,1.21275,1.34413,1.00636,0.70088,0.63484,0.73884,0.41369,1.76875,1.81005,1.36749,0.000218514,0.000218514,0.000218514
107,3015.17,1.20316,1.35511,1.07439,0.70088,0.63484,0.73884,0.41369,1.76875,1.81005,1.36749,0.000216261,0.000216261,0.000216261
108,3041.49,1.23402,1.36483,1.04411,0.67759,0.66416,0.72454,0.40824,1.74874,1.80294,1.36108,0.000214009,0.000214009,0.000214009
109,3067.33,1.15826,1.27118,1.03359,0.67759,0.66416,0.72454,0.40824,1.74874,1.80294,1.36108,0.000211757,0.000211757,0.000211757
110,3093.9,1.15852,1.27702,1.01732,0.63838,0.69652,0.73965,0.41916,1.72799,1.78572,1.33795,0.000209505,0.000209505,0.000209505
111,3121.27,1.171,1.26375,1.0221,0.63838,0.69652,0.73965,0.41916,1.72799,1.78572,1.33795,0.000207252,0.000207252,0.000207252
112,3150.57,1.1758,1.29655,1.01788,0.61821,0.68208,0.76097,0.42292,1.7305,1.7651,1.33391,0.000205,0.000205,0.000205
113,3177.1,1.15894,1.2901,1.0252,0.61821,0.68208,0.76097,0.42292,1.7305,1.7651,1.33391,0.000202748,0.000202748,0.000202748
114,3203.58,1.18002,1.2731,1.07058,0.61201,0.71545,0.77622,0.42205,1.72592,1.7517,1.34041,0.000200496,0.000200496,0.000200496
115,3229.32,1.15928,1.22178,1.01796,0.61201,0.71545,0.77622,0.42205,1.72592,1.7517,1.34041,0.000198244,0.000198244,0.000198244
116,3257.14,1.17739,1.26499,1.02871,0.60517,0.70635,0.78292,0.43147,1.70642,1.73512,1.33627,0.000195991,0.000195991,0.000195991
117,3287.33,1.15499,1.23491,1.00107,0.60517,0.70635,0.78292,0.43147,1.70642,1.73512,1.33627,0.000193739,0.000193739,0.000193739
118,3315.43,1.17531,1.27585,1.01099,0.59968,0.73395,0.76811,0.41816,1.74363,1.71428,1.36836,0.000191487,0.000191487,0.000191487
119,3365.03,1.14679,1.24094,1.00473,0.59968,0.73395,0.76811,0.41816,1.74363,1.71428,1.36836,0.000189235,0.000189235,0.000189235
120,3407.93,1.17298,1.23147,1.03018,0.58861,0.75272,0.78053,0.42872,1.76789,1.71068,1.39247,0.000186982,0.000186982,0.000186982
121,3431.52,1.13559,1.23552,0.99277,0.58861,0.75272,0.78053,0.42872,1.76789,1.71068,1.39247,0.00018473,0.00018473,0.00018473
122,3452.39,1.17797,1.18828,1.04104,0.61779,0.74534,0.79065,0.44217,1.76759,1.67146,1.40049,0.000182478,0.000182478,0.000182478
123,3473.01,1.1105,1.16521,1.03059,0.61779,0.74534,0.79065,0.44217,1.76759,1.67146,1.40049,0.000180226,0.000180226,0.000180226
124,3494.61,1.13953,1.22025,1.02191,0.62548,0.75135,0.7924,0.44685,1.73198,1.60444,1.37004,0.000177973,0.000177973,0.000177973
125,3515.21,1.17597,1.30223,1.02386,0.62548,0.75135,0.7924,0.44685,1.73198,1.60444,1.37004,0.000175721,0.000175721,0.000175721
126,3538.01,1.13196,1.2173,0.98272,0.65189,0.75004,0.79495,0.44211,1.73539,1.5882,1.37319,0.000173469,0.000173469,0.000173469
127,3560.85,1.07929,1.05721,1.01095,0.65189,0.75004,0.79495,0.44211,1.73539,1.5882,1.37319,0.000171217,0.000171217,0.000171217
128,3582,1.10331,1.11374,1.00622,0.64408,0.74818,0.79432,0.4397,1.73674,1.57154,1.38171,0.000168964,0.000168964,0.000168964
129,3603.05,1.13167,1.13121,1.0054,0.64408,0.74818,0.79432,0.4397,1.73674,1.57154,1.38171,0.000166712,0.000166712,0.000166712
130,3623.78,1.10546,1.14328,1.00343,0.62609,0.73638,0.80398,0.44427,1.75566,1.56076,1.40523,0.00016446,0.00016446,0.00016446
131,3644.08,1.05966,1.09745,1.00092,0.62609,0.73638,0.80398,0.44427,1.75566,1.56076,1.40523,0.000162207,0.000162207,0.000162207
132,3665.22,1.09884,1.14162,1.01265,0.68904,0.68908,0.80402,0.43941,1.79465,1.57622,1.43515,0.000159955,0.000159955,0.000159955
133,3686.89,1.08607,1.15862,0.99195,0.68904,0.68908,0.80402,0.43941,1.79465,1.57622,1.43515,0.000157703,0.000157703,0.000157703
134,3710.51,1.15603,1.17927,1.03966,0.67355,0.70341,0.78806,0.44569,1.81116,1.57775,1.44027,0.000155451,0.000155451,0.000155451
135,3734.47,1.13077,1.18203,0.98424,0.67355,0.70341,0.78806,0.44569,1.81116,1.57775,1.44027,0.000153198,0.000153198,0.000153198
